wavelength,absorptivity_lactate,absorptivity_protein,absorptivity_water
2015,57.44688895869885,-131.21062010527322,86.98770041637881
2016,57.404319793716795,-129.56982224326768,86.12643634230497
2017,57.25851572175454,-128.4064013289151,85.28307428300998
2018,57.130701912951444,-125.78363910690828,84.44825143665663
2019,57.13712034271935,-124.47042392330998,83.61710251786707
2020,57.156728426332,-123.51026535767552,82.79324485359216
2021,57.07249465731622,-121.73876830260733,81.99274805782827
2022,57.09523139601088,-121.40292996382914,81.18983386473701
2023,57.14715098462464,-119.6467187543609,80.39463200246617
2024,57.184336538865054,-117.17091818515156,79.61792761983875
2025,57.228149269033324,-114.65708964245604,78.84846571359125
2026,57.30123728629797,-113.01538564697032,78.09097657474251
2027,57.3917247259048,-111.61044191578188,77.35453889220966
2028,57.48035063183522,-110.00601191597976,76.61080816422351
2029,57.58308725958536,-107.12726673345324,75.87365524065262
2030,57.68079009552909,-106.62453692479666,75.1599257310946
2031,57.902372867429044,-105.27148741092408,74.44381222762247
2032,58.032395114448065,-102.01227104618764,73.73066417346512
2033,58.19515451317915,-99.17141878720996,73.03351021772582
2034,58.36112106647521,-97.31426734263664,72.33826648328643
2035,58.574502069077916,-95.32796318508444,71.65318516942087
2036,58.761901208934475,-93.07584689384208,70.99249376175801
2037,58.94729993314264,-90.3727828352015,70.32172120133902
2038,59.11503094048221,-88.20490371436105,69.65081885373567
2039,59.34370005401979,-84.73084035264824,68.99766203829249
2040,59.608589387065926,-82.17802592761402,68.35196320713243
2041,59.84337666180694,-80.18364079706411,67.70156990583585
2042,60.05418289308005,-75.89118832961677,67.07255011715083
2043,60.323835627140554,-73.94486682594668,66.44312376635654
2044,60.61164149751096,-70.9496049952971,65.81149542477137
2045,60.8420410524361,-68.3124731107232,65.21054316561221
2046,61.13317948235162,-65.42872829643116,64.61362111645747
2047,61.3970024827292,-62.49976150624564,64.00289402989412
2048,61.684698399453,-59.78717606182824,63.41286126723624
2049,62.00375035190553,-57.6949698065402,62.83452102561701
2050,62.27078329115886,-55.03137269952219,62.246392485765625
2051,62.5217097408788,-51.91925915481798,61.67653131472921
2052,62.82325893335076,-50.778687868653336,61.11482709629647
2053,63.163357344074456,-49.700173767873736,60.54991232307131
2054,63.38804832850121,-46.44474906714716,60.00029125779928
2055,63.67701969595058,-44.587550676827625,59.47083265794572
2056,63.97512950143699,-44.53055413185252,58.930145337704985
2057,64.27671663987262,-42.97054774405031,58.392268731870786
2058,64.54537873427381,-42.138599176635005,57.87355850508367
2059,64.80374719010027,-41.6519547187339,57.34918087622165
2060,65.08077587188869,-40.20758827354088,56.82717724698472
2061,65.34636724521783,-39.484027844791925,56.320792671811056
2062,65.62980570143499,-41.68646837603213,55.81046698571687
2063,65.9477327238158,-41.70648824103191,55.29896794548861
2064,66.19902877924699,-41.57064032446678,54.81584558306039
2065,66.40545611380969,-42.32418449373443,54.33329659455562
2066,66.67678183476711,-42.92258615207019,53.84035490237275
2067,66.95376158596606,-43.63505839129797,53.36460417977784
2068,67.17847950874585,-45.2031461852402,52.89520921845558
2069,67.39129114793808,-44.98099026713557,52.41640851379573
2070,67.65317554121359,-46.18666792750357,51.955079548156895
2071,67.86048880958054,-47.26431761544769,51.49905022094576
2072,68.03653728392635,-47.7130069467532,51.032960585215385
2073,68.22490692344432,-48.01642271720696,50.58400607347524
2074,68.44165902981847,-48.19055133540783,50.152524672141666
2075,68.62154202396714,-49.43118252484608,49.7144426364724
2076,68.81612132119514,-49.35438395678282,49.27879699545388
2077,68.90394789460369,-48.50324417672486,48.85906909412268
2078,69.01683703617448,-49.62010411527413,48.42961934407519
2079,69.28044085729815,-49.91991224129192,48.00562442773763
2080,69.38601071611446,-49.79277171831447,47.601134132190694
2081,69.4295547954581,-49.56064626834576,47.185982740704716
2082,69.54259089400705,-50.10452209692253,46.76810650140162
2083,69.68843908401895,-49.58457210888706,46.379309543168446
2084,69.74484074413569,-49.6699462238718,45.9910081863229
2085,69.84787692057081,-50.01596163114881,45.596176334702356
2086,69.89809333339359,-49.55036389882035,45.21980024292376
2087,69.99141932933311,-49.242062133403785,44.84373133296851
2088,70.04220375068529,-49.42929434060215,44.4525843070847
2089,70.04460588642286,-48.82334179657256,44.082270305339456
2090,70.04832025375222,-47.48206922476864,43.72321566066692
2091,70.05280106717281,-47.593551927349154,43.346225992631375
2092,70.13569148033567,-47.9906535468272,42.97493742677927
2093,70.06904187028665,-47.34792282603628,42.63042279139532
2094,70.06479510117526,-47.051167843875376,42.28090549496112
2095,70.02407902785967,-46.66474032740273,41.93298471299297
2096,69.95160438826045,-46.491899158192,41.602137056448015
2097,69.87259713305257,-45.36976412150192,41.2641801821772
2098,69.85282451232315,-45.25054818823158,40.918096723767654
2099,69.78164007175518,-44.11338981704323,40.59359211798533
2100,69.6506167323432,-43.78847263428347,40.2735840885537
2101,69.47504670828027,-42.72151080732535,39.94059218226068
2102,69.35992409677475,-42.58945288581248,39.621580618881985
2103,69.27019054289055,-42.20243320988681,39.320735901531435
2104,69.13824733722367,-41.77090418601601,39.00903822391298
2105,68.95599269246782,-40.5582540561008,38.71310411640542
2106,68.90154587536387,-40.136541506316014,38.43298065537027
2107,68.70344597971483,-39.97908970700263,38.13792197765957
2108,68.4649153394872,-38.95514232567137,37.838269612376855
2109,68.3020338311436,-37.74551689607628,37.56628297227613
2110,68.14920841154427,-37.30069543547235,37.28919088066767
2111,67.98217489080167,-37.15646748932658,37.002118977750094
2112,67.73762760591437,-36.04621905915933,36.73481475988658
2113,67.56797013569795,-35.24269328169065,36.47040437370159
2114,67.39771989832961,-34.008532681438,36.20267975953012
2115,67.1343103167229,-33.89431483447717,35.95266220689987
2116,66.92529712019628,-32.2397721458221,35.71621072704799
